Título	Productora/Distribuidora	Director
La furia	Argentina Sono Film	Juan Bautista Stagnaro
Cenizas de paraíso	Patagonik Film Group	Marcelo Piñeyro
Dibu la película	Patagonik, Telefe	Alejandro Stoessel
Dibu 2: la venganza de Nasty	Patagonik, Telefe	Carlos Galettini
La edad del sol	-	Ariel Piluso
Esa maldita costilla	Argentina Sono Film, Telefe	Juan José Jusid
Manuelita	Telefe, García Ferré Entertainment	Manuel García Ferré
Apariencias	Naya Films, Patagonik Film Group, Pol-ka Producciones	Alberto Lecchi
Condor Crux	Patagonik Film Group	Juan Pablo Buscarini
Plata quemada	Oscar Kramer S. A., Cuatro Cabezas, Tornasol Films, Mandarin Films, Taxi Films	Marcelo Piñeyro
Antigua vida mía	Aries Cinematográfica	Héctor Olivera
Déjala Correr	Pol-Ka	Alberto Lecchi
Chiquititas	Telefe	José Luis Massa
Sólo por Hoy	Universidad del Cine	Ariel Rotter
Rodrigo, la Película	Telefe	Juan Pablo Laplace
La Cienaga	Lita Stantic	Lucrecia Martel
Mercano, el marciano	Universidad del Cine	Juan Antín
Apasionados	Patagonik	Juan José Jusid
Un Día en el Paraíso	Patagonik	Juan Bautista Stagnaro
Vivir Intentando	Patagonik	Tomás Yankelevich
El Día que me Amen	Patagonik	Daniel Barone
Erreway: 4 Caminos	Cris Morena	Ezequiel Crupnicoff
Patoruzito	Patagonik	José Luis Massa
Teo, cazador intergaláctico	Amazonia Films	Sergio Bayo
Papá se Volvió Loco	Argentina Sono Film	Rodolfo Ledo
Iluminados por el Fuego	INCAA	Tristán Bauer
Los Incorregibles	Argentina Sono Film	Rodolfo Ledo
El Arca	Patagonik Film Group	Juan Pablo Buscarini
Isidoro	Indiecito Studios	José Luis Massa
¿Quién Dice qué es Fácil?	Film Suez	Juan Taratuto
Martín Fierro, la Película	Aleph Media	Liliana Romero
Leonera	Patagonik Film Group	Pablo Trapero
El ratón Perez 2	Patagonik	Andrés G. Schaer
Papá por un día	Telefe, INCAA, Pampa Films, Royal Cinema Group, Runa Films	Raúl Rodríguez Peila
Las viudas de los jueves	Tornasol	Marcelo Piñeyro
Felicitas	Buenos Aires Producciones	María Teresa Costantini
Dos hermanos	Patagonik	Daniel Burman
Miss Tacuarembó	Oriental Films, Royal Cinema Group, CoolShot Films	Martín Sastre
Pájaros volando	INCAA	Néstor Montalbano
Carancho	Patagonik	Pablo Trapero
Gaturro	Illusion Studios, Toonz Entertainment, Ánima Estudios	Cristian Dzwonik
Igualita a mí	Patagonik Film Group	Diego Kaplan
Mi primera boda	Buena Vista Internacional	Ariel Winograd
Revolución, el cruce de los andes	INCAA	Leandro Ipiña
Selkirk, el verdadero Robinson Crusoe	Patagonik Film Group, Cineanimadores	Walter Tournier
Extraños en la noche	MyS Producción	Alejandro Montiel
La pelea de mi vida	Argentina Sono Film	Jorge Nisco
Rodencia y el diente de la princesa	Vista Sur Films, Red Post Studio	David Bisbano
Soledad y Larguirucho	San Luis Cine	Manuel García Ferré
Vino para robar	Patagonik, Cine Ar	Ariel Winograd
Séptimo	Telefe Contenidos, Telecinco Cinema, Hugo Sigman (K&S Films)	Patxi Amezcúa
El inventor de juegos	Buena Vista International, Pampa Films, Benteveo Producciones, Telefe	Juan Pablo Buscarini
Muerte en Buenos Aires	Distribution Company	Natalia Meta
Bañeros 4: los rompeolas	Argentina Sono Film	Rodolfo Ledo
Kryptonita	Crudo Films, Hermanos Dawidson Films, Energía	Nicanor Loreti
Abzurdah	MyS Producción, HC Films, Telefe, Fénix	Daniela Goggi
Papeles en el viento	Cinear, Telefe, Endemol, INCAA	Juan Taratuto
Voley	Patagonik, MyS, Gazz	Martín Piroyansky
Tini: el gran cambio de Violetta	Buena Vista International, Gloriamundi Producciones, The Walt Disney Company Argentina	Juan Pablo Buscarini
100 años de perdón	Morena Films, Telecinco Cinema, K&S Films, Telefónica Studios	Daniel Calparsoro
Permitidos	Tresplanos Cine, Patagonik Film Group, INCAA	Ariel Winograd
La última fiesta	Buffalo Films, MG Films	Nicolás Silbert
El ciudadano ilustre	Aleph Media, Magma Cine	Gastón Duprat, Mariano Cohn
El rey del Once	BD Cine Telefe	Daniel Burman
Inseparables	Argentina Sono Film	Marcos Carnevale
Los que aman, odian	Patagonik	Alejandro Maci
Mamá se fue de viaje	Patagonik	Ariel Winograd
El fútbol o yo	Patagonik, Lihuen Andina S.A., Creative Andina	Marcos Carnevale
Perdida	INCAA, MyS Producción, Telefe, Tondero Producciones	Alejandro Montiel
No dormirás	Pampa Films, Gloriamundi	Gustavo Hernández
27: El club de los malditos	Del Toro Films	Nicanor Loreti
El Potro: lo mejor del amor	FAM Contenidos, Telefe, DirecTV, INCAA	Lorena Muñoz
Re loca	Aeroplano, Telefe, INCAA	Martino Zaidelis
Yanka y el espíritu del volcán	Cine Ar, INCAA, Sudestada	Iván Abello
Recreo	HC Films, Benteveo, Chinita Films	Hernán Guerschuny, Jazmín Stuart
El Ángel	K&S Films, Underground, Telefe	Luis Ortega
Bañeros 5: Lentos y cargosos	Argentina Sono Film	Rodolfo Ledo
El cuento de las comadrejas	100 Bares, Telefé, Tornasol Films, INCAA	Juan José Campanella
4×4	MediaPro	Mariano Cohn
No soy tu mami	Patagonik	Marcos Carnevale
La Gallina Turuleca	-	Eduardo Gondell
Yo, Adolescente	Cine Tren	Lucas Santa Ana
Corazón Loco	Netflix	Marcos Carnevale
Ex Casados	Zoelle Producciones, RGB Entertainment	Sabrina Farji
Errante Corazón	Cinetren, HBO Max	Leonardo Brzezicki
La Chica Más Rara del Mundo	Crep Films, Lahaye Media	Mariano Cattaneo
La Noche Mágica	Buena Vista International	Gastón Portal
Matrimillas	Netflix	Sebastián De Caro
Más Respeto que soy Tu Madre	Pampa Films, Gloriamundi Producciones, Star Distribution	Marcos Carnevale
30 Noches con mi Ex	Patagonik, Star Distribution	Adrián Suar
Blondi	Amazon Studios, Gran Via Productions, La Unión de los Ríos, Setembro Cine	Dolores Fonzi
Puan	Pasto Cine, Pucara Cine, Infinity Hill	María Alché, Benjamín Naishtat
La Extorsión	100 Bares, Cimarrón Cine, Infinity Hill, Particular Crowd HBO Max	Martino Zaidelis
Casi Muerta	Cinema 7 Films, Non Stop, Particular Crowd, HBO Max	Fernán Mirás
Cuando Acecha la Maldad	Machaco Films	Demián Rugna
Campamento con Mamá	Netflix	Martino Zaidelis
Culpa Cero	Pampa Films, Star Distribution	Valeria Bertuccelli
Gigantes	Studio Isar Animation, 3Doubles Producciones	Gonzalo Gutiérrez
Transmitvah	Oficina Burman, The Mediapro Studio, Star Distribution	Daniel Burman
El Hombre que Amaba los Platos Voladores	Netflix	Diego Lerman
La Mujer de la Fila	Netflix	Benjamín Ávila
Hoy se Arregla el Mundo	Buena Vista International, Patagonik Film Group	Ariel Winograd
Bañeros 3, todopoderosos	Argentina Sono Film, Telefe	Rodolfo Ledo
El Ratón Pérez	Patagonik Film Group	Juan Pablo Buscarini
La Señal	Patagonik Film Group	Martín Hodara
Acusada	K&S Films, Piano, Rei Cine	Gonzalo Tobal
Don Gato y su pandilla	Ánima Estudios, Illusion Studios	Alberto Mar
Alma mía	Patagonik, Pol-Ka	Daniel Barone
Los Pintín al rescate	Patagonik Film Group	Franco Bíttolo
Fase 7	Aeroplano Cine, INCAA, Telefe	Nicolás Goldbart
El secreto de sus ojos	Haddock Films, Tornasol Films, 100 Bares, Telefe, Televisión Española (TVE), Canal+	Juan José Campanella
El clan	Kramer & Sigman Films, El Deseo, Telefé, Fox International Productions	Pablo Trapero
Muere, monstruo, muere	La Unión de los Ríos	Alejandro Fadel
Un Novio para mi Mujer	Patagonik Film Group	Juan Taratuto
Homo Argentum	Pampa Films	Mariano Cohn, Gastón Duprat
Kóblic	Pampa Films, Telefe, Endemol Shine Argentina, DirecTV, INCAA	Sebastián Borensztein
Sin hijos	Patagonik, Tornasol Films	Ariel Winograd
XXY	Cinéfondation	Lucía Puenzo
Hermanitos del fin del mundo	Argentina Sono Film	Julio Midú
Cleopatra	Patagonik	Eduardo Mignogna
Nieve negra	Patagonik, Morena Films	Martín Hodara
La odisea de los giles	Mod Producciones, K&S Films, Kenya Films	Sebastián Borensztein
Sólo se vive una vez	Pampa Films	Federico Cueva
La Ira de Dios	Netflix	Sebastián Schindel
Corazón de león	Argentina Sono Film, Telefé, Patagonik Film Group	Marcos Carnevale
